BasinID,dwnBasinID,Area_km2,Shape_Leng,ws2024tl,ws3024tl,ws4024tl,ws2028tl,ws3028tl,ws4028tl,ws2038tl,ws3038tl,ws4038tl,Shape_Le_1,Shape_Area,FacilityID,Latitude,Longitude,Formatted Address
3346,0,84,80000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),0.796127555,0.008258903,711,34.60624818,135.4883353,"1-chÅme-2-8 Suminoe, Suminoe Ward, Osaka, 559-0004, Japan"
6536,0,33871,1396000,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),13.11359531,2.993709714,712,22.709368,114.3632,"1-21 Yan Zi Ling Sheng Huo Qu, Ping Shan Qu, Shen Zhen Shi, Guang Dong Sheng, China, 518118"
3577,0,5503,1844000,High (40-80%),High (40-80%),Medium-high (20-40%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),17.29500305,0.482536068,713,22.54554,114.0683,"China, Shen Zhen Shi, Fu Tian Qu, æ­¦è­¦æ”¯é˜Ÿ é‚®æ”¿ç¼–ç : 518038"
3553,0,5325,1578000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),15.1944699,0.493825216,714,29.910213,121.860016,"China, Zhe Jiang Sheng, Ning Bo Shi, Bei Lun Qu, æ·®æ²³è·¯262å· é‚®æ”¿ç¼–ç : 315899"
6553,6400,30403,1478000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),15.41085037,3.233791918,715,39.9075,116.39723,"W95W+3XQ, W Chang'an St, Dong Cheng Qu, Bei Jing Shi, China, 100051"
8862,8814,11661,918000,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),10.02325945,1.338719665,716,45.26959,5.86678,"465 RD 1090, 38190 Bernin, France"
3462,0,26372,1266000,High (40-80%),Extremely high (>80%),High (40-80%),High (40-80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),Extremely high (>80%),Extremely high (>80%),12.39419026,2.492550011,717,31.405172,121.2178,"C638+XPV, Xinlai Rd, Jia Ding Qu, Shang Hai Shi, China, 201807"
8862,8814,11661,918000,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),10.02325945,1.338719665,718,45.26861003,5.871105085,"11 Imp. des Ã‰cureuils, 38190 Bernin, France"
8862,8814,11661,918000,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),10.02325945,1.338719665,719,45.26959,5.86678,"465 RD 1090, 38190 Bernin, France"
4067,0,587,252000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),2.246796729,0.04748885,720,1.380775721,103.9309631,"81 Pasir Ris Industrial Drive 1, Singapore 518220"
10668,0,1827,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),3.033580204,0.17841266,721,33.87905798,-118.017857,"14701 Firestone Blvd, La Mirada, CA 90638, USA"
3405,0,5704,1052000,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),10.22495105,0.541242212,722,31.74109344,130.7507501,"5-1 Kokubunoguchikita, Kirishima, Kagoshima 899-4344, Japan"
3405,0,5704,1052000,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),10.22495105,0.541242212,723,31.7408088,130.7633104,"3-chÅme-45-1 KokubuchÅ«Å, Kirishima, Kagoshima 899-4332, Japan"
3405,0,5704,1052000,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),10.22495105,0.541242212,724,31.7408088,130.7633104,"3-chÅme-45-1 KokubuchÅ«Å, Kirishima, Kagoshima 899-4332, Japan"
3254,0,5293,610000,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),6.20486912,0.540363493,725,38.03505783,140.6446504,"3-chÅme-53 Shiratori, Shiroishi, Miyagi 989-0734, Japan"
3405,0,5704,1052000,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),10.22495105,0.541242212,726,31.7408088,130.7633104,"3-chÅme-45-1 KokubuchÅ«Å, Kirishima, Kagoshima 899-4332, Japan"
3405,0,5704,1052000,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),10.22495105,0.541242212,727,31.7408088,130.7633104,"3-chÅme-45-1 KokubuchÅ«Å, Kirishima, Kagoshima 899-4332, Japan"
3413,0,2586,348000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),3.444500067,0.249399668,728,32.89056187,130.8390137,"4000-1 Haramizu, Kikuyo, Kikuchi District, Kumamoto 869-1102, Japan"
3294,0,1433,266000,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),2.622394833,0.138160239,729,33.18318165,131.6815143,"Japan, ã€’870-0125 Oita, Matsuoka, ä¸‹æ¾å²¡ï¼“ï¼•ï¼ï¼"
